"","ds","Google_Impressions","Facebook_Impressions","Affiliate_Impressions","Organic_Views","Email_Impressions","type","solID","cluster","top_sol"
"21095",2019-06-22,445891.864429011,148787.71267414,9364.77601745014,18770.6529871912,360076.020632207,"adstockedMedia","1_110_13",1,FALSE
"21096",2019-06-29,589984.992370164,97825.4422757966,8177.38538811816,18535.0266997827,377432.615447719,"adstockedMedia","1_110_13",1,FALSE
"21097",2019-07-06,761740.83908451,86310.9225101986,8831.36726927742,18314.949741221,358610.257261594,"adstockedMedia","1_110_13",1,FALSE
"21098",2019-07-13,888105.723129692,203556.398530282,12773.2303664666,29451.6596313911,243913.201077116,"adstockedMedia","1_110_13",1,FALSE
"21099",2019-07-20,805483.441299817,118836.7873474,12783.3898734889,38678.4329348144,438638.075656807,"adstockedMedia","1_110_13",1,FALSE
"21100",2019-07-27,770188.063880234,165814.596732085,10963.6402992203,34082.7261692537,319745.505996221,"adstockedMedia","1_110_13",1,FALSE
"21101",2019-08-03,470455.283897347,67011.4638028247,9989.5487655986,40750.6112334307,248069.756464666,"adstockedMedia","1_110_13",1,FALSE
"21102",2019-08-10,448374.655474739,88512.5241866939,11644.7783894285,44409.8502195931,281875.307910037,"adstockedMedia","1_110_13",1,FALSE
"21103",2019-08-17,514926.996211543,121375.72566335,12649.4272168275,40664.3511046409,309479.611065547,"adstockedMedia","1_110_13",1,FALSE
"21104",2019-08-24,606158.753245122,87089.1754839149,10792.966319083,28525.9376501661,311828.336682343,"adstockedMedia","1_110_13",1,FALSE
"21105",2019-08-31,506479.47618694,88230.1283876584,11350.7428842973,17773.0537357828,334805.690209361,"adstockedMedia","1_110_13",1,FALSE
"21106",2019-09-07,676486.112807257,200508.655090411,8911.29560510553,15815.3877353077,409632.460486972,"adstockedMedia","1_110_13",1,FALSE
"21107",2019-09-14,524476.956531368,186655.270973174,9963.93523966693,11775.4228480892,518115.777456894,"adstockedMedia","1_110_13",1,FALSE
"21108",2019-09-21,482099.897266287,326850.469167991,9450.10475411333,11093.1709047039,540099.508803721,"adstockedMedia","1_110_13",1,FALSE
"21109",2019-09-28,709625.060753664,907856.200884884,10111.2865005624,15243.7700276078,353809.8273834,"adstockedMedia","1_110_13",1,FALSE
"21110",2019-10-05,800113.8043242,261660.896851064,9124.74443518555,18567.7354871637,448525.247364265,"adstockedMedia","1_110_13",1,FALSE
"21111",2019-10-12,763345.018296368,261411.841321704,8526.21614989947,11875.70846649,488417.178290028,"adstockedMedia","1_110_13",1,FALSE
"21112",2019-10-19,707642.625542505,237469.48745397,9310.63654232964,10491.6952111114,448636.345769201,"adstockedMedia","1_110_13",1,FALSE
"21113",2019-10-26,1119564.826075,204742.806265474,8529.39298852408,11396.6515408277,436302.133508538,"adstockedMedia","1_110_13",1,FALSE
"21114",2019-11-02,1264786.79436548,218982.29117825,8579.34024176794,12794.6444582114,403140.408189155,"adstockedMedia","1_110_13",1,FALSE
"21115",2019-11-09,2425461.26895887,359354.392869795,9003.40402504611,15307.2945992034,603975.82037023,"adstockedMedia","1_110_13",1,FALSE
"21116",2019-11-16,2891970.87747051,587516.927425057,8920.33811530339,22287.035403534,792222.983086012,"adstockedMedia","1_110_13",1,FALSE
"21117",2019-11-23,2576719.75640281,1153547.66507549,9549.9382401649,20670.111244091,497616.596665009,"adstockedMedia","1_110_13",1,FALSE
"21118",2019-11-30,2607350.36189472,714142.448343092,8801.40055052197,17669.3026531047,775425.213028105,"adstockedMedia","1_110_13",1,FALSE
"21119",2019-12-07,1618994.31056513,709495.693743178,8423.59245826673,15044.4651956059,757945.253580955,"adstockedMedia","1_110_13",1,FALSE
"21120",2019-12-14,816614.402519083,647362.803933123,9101.90443576339,15099.8324030612,496013.268606808,"adstockedMedia","1_110_13",1,FALSE
"21121",2019-12-21,548815.855434896,355292.152904458,6699.15687662078,13813.1949171866,462773.073645527,"adstockedMedia","1_110_13",1,FALSE
"21122",2019-12-28,683523.97144569,116595.60274074,8447.92584207874,14601.3411684722,334822.540397548,"adstockedMedia","1_110_13",1,FALSE
"21123",2020-01-04,471040.186968398,97855.4186973201,7591.29450763794,16450.9108736666,357207.747844078,"adstockedMedia","1_110_13",1,FALSE
"21124",2020-01-11,421318.496910938,132975.566903826,7790.5426630816,21251.4538917457,460801.341603787,"adstockedMedia","1_110_13",1,FALSE
"21125",2020-01-18,427814.644693502,152834.53359252,8673.67799119747,20432.1075540088,454985.398020428,"adstockedMedia","1_110_13",1,FALSE
"21126",2020-01-25,620372.689508115,117597.435501751,8605.30071799423,19202.9524956805,387367.140676007,"adstockedMedia","1_110_13",1,FALSE
"21127",2020-02-01,733146.236716892,41807.9547784824,7592.15451309325,23234.7043312828,1054493.32957344,"adstockedMedia","1_110_13",1,FALSE
"21128",2020-02-08,772552.208499122,162333.732345734,6625.73316232545,24734.0124731054,520711.442234651,"adstockedMedia","1_110_13",1,FALSE
"21129",2020-02-15,641418.269916733,295517.636764963,7600.66180332418,28727.3052375244,365633.520264535,"adstockedMedia","1_110_13",1,FALSE
"21130",2020-02-22,615683.578819437,293224.648922983,8443.6176065999,28572.1938610997,469442.094959225,"adstockedMedia","1_110_13",1,FALSE
"21131",2020-02-29,596573.83736745,154392.357290497,8734.34019322517,25488.3692611448,369432.191875367,"adstockedMedia","1_110_13",1,FALSE
"21132",2018-01-06,1.16520808907403,18.3340668774627,0,0,948.936612151984,"decompMedia","1_110_13",1,FALSE
"21133",2018-01-13,0.601020527791515,0.116978182653288,0,0,2258.47027252287,"decompMedia","1_110_13",1,FALSE
"21134",2018-01-20,2.40369515383098,6.74669800864103,0,0,1978.5382530938,"decompMedia","1_110_13",1,FALSE
"21135",2018-01-27,0.781842008094424,23.2919917702958,0,0,1858.10472065379,"decompMedia","1_110_13",1,FALSE
"21136",2018-02-03,1.05194774625321,3.54506118605036,0,0,1781.03536342482,"decompMedia","1_110_13",1,FALSE
"21137",2018-02-10,2.34485520266549,2.51567311074525,0,0,1936.91660434749,"decompMedia","1_110_13",1,FALSE
"21138",2018-02-17,2.64229385033545,65.8293766039447,0,0,3052.26569479452,"decompMedia","1_110_13",1,FALSE
"21139",2018-02-24,2.09885951013356,0.000962159216001151,0,0,2817.78326236019,"decompMedia","1_110_13",1,FALSE
"21140",2018-03-03,2.05223991468442,0.110274096581385,0,0,2032.48963123633,"decompMedia","1_110_13",1,FALSE
"21141",2018-03-10,2.38514444390866,27.852393594712,0,0,2202.18973555906,"decompMedia","1_110_13",1,FALSE
"21142",2018-03-17,1.46384034697916,0.113734594351523,0,0,2185.90835020019,"decompMedia","1_110_13",1,FALSE
"21143",2018-03-24,2.21058055320163,9.58157453143642,0,0,1934.49688196285,"decompMedia","1_110_13",1,FALSE
"21144",2018-03-31,2.92395670226671,1.38657543272601,0,0,1912.64726670639,"decompMedia","1_110_13",1,FALSE
"21145",2018-04-07,548.014156691152,36.1593824464732,0,0,1855.4208853248,"decompMedia","1_110_13",1,FALSE
"21146",2018-04-14,1029.06436950422,11.5794586455086,0,0,2392.58295347351,"decompMedia","1_110_13",1,FALSE
"21147",2018-04-21,1161.30734353272,2.98679744226505,0,0,1885.9362564749,"decompMedia","1_110_13",1,FALSE
"21148",2018-04-28,1293.00261745632,1.11623838503459,0,0,2191.22661773601,"decompMedia","1_110_13",1,FALSE
"21149",2018-05-05,1434.47720630384,6.55717673730909,0,0,1775.55952761031,"decompMedia","1_110_13",1,FALSE
"21150",2018-05-12,1837.96782066869,4.23588712947231,0,0,1377.74939709909,"decompMedia","1_110_13",1,FALSE
"21151",2018-05-19,1940.30067884627,0.0132403508462334,0,0,1517.351918283,"decompMedia","1_110_13",1,FALSE
"21152",2018-05-26,1929.67554229595,0.319093871831694,0,0,2042.23698207248,"decompMedia","1_110_13",1,FALSE
"21153",2018-06-02,1665.61890518222,9.5645452950365,0,0,1330.79640749953,"decompMedia","1_110_13",1,FALSE
"21154",2018-06-09,1543.07328248661,40.7468803701271,0,0,1494.97010121675,"decompMedia","1_110_13",1,FALSE
"21155",2018-06-16,1423.2957765217,6.39278523106715,0,0,1277.0832883385,"decompMedia","1_110_13",1,FALSE
"21156",2018-06-23,1467.25561171296,2.01510749056363,0,0,1607.58775458323,"decompMedia","1_110_13",1,FALSE
"21157",2018-06-30,1647.95045779049,3.63191722480352,0,0,1509.05806802377,"decompMedia","1_110_13",1,FALSE
"21158",2018-07-07,2077.72550418035,2.77731831546397,0,0,1185.26395596168,"decompMedia","1_110_13",1,FALSE
"21159",2018-07-14,2437.46111903369,175.969945132395,0,0,2029.64671343218,"decompMedia","1_110_13",1,FALSE
"21160",2018-07-21,2201.02341491952,86.2768923267094,0,0,1440.95198591471,"decompMedia","1_110_13",1,FALSE
"21161",2018-07-28,2098.73652131646,33.4734935230383,0,0,1455.17537229528,"decompMedia","1_110_13",1,FALSE
"21162",2018-08-04,1966.84883060773,47.9642344990282,0,0,949.334512550122,"decompMedia","1_110_13",1,FALSE
"21163",2018-08-11,1984.06260796908,59.1573243762048,0,0,1313.87626023572,"decompMedia","1_110_13",1,FALSE
"21164",2018-08-18,2555.67527123757,166.660050600475,0,0,1737.13134666446,"decompMedia","1_110_13",1,FALSE
"21165",2018-08-25,2736.11791500831,1108.55898453977,0,0,1832.19201252643,"decompMedia","1_110_13",1,FALSE
"21166",2018-09-01,2940.55354332405,613.363590017212,0,0,1281.27248455052,"decompMedia","1_110_13",1,FALSE
"21167",2018-09-08,2875.51335832198,1009.36495267632,0,0,1303.17814466565,"decompMedia","1_110_13",1,FALSE
"21168",2018-09-15,3102.89281048026,382.759184692286,0,0,1247.30248916858,"decompMedia","1_110_13",1,FALSE
"21169",2018-09-22,3073.76629965251,599.388661664981,0,0,1171.24459422819,"decompMedia","1_110_13",1,FALSE
"21170",2018-09-29,3416.47890948324,491.085923615533,0,0,928.349927660916,"decompMedia","1_110_13",1,FALSE
"21171",2018-10-06,3420.82118441144,45.6546591154043,0,0,756.258231791591,"decompMedia","1_110_13",1,FALSE
"21172",2018-10-13,3129.98160560487,87.9729600992601,0,0,722.435984590054,"decompMedia","1_110_13",1,FALSE
"21173",2018-10-20,3683.88125994092,58.6672636920189,0,0,694.175147612453,"decompMedia","1_110_13",1,FALSE
"21174",2018-10-27,3609.00888422061,72.9493543295956,0,0,773.779943172972,"decompMedia","1_110_13",1,FALSE
"21175",2018-11-03,3338.81336911913,234.411294451759,0,0,751.60829079633,"decompMedia","1_110_13",1,FALSE
"21176",2018-11-10,4456.46238210922,340.985730312378,0,0,2521.84031106821,"decompMedia","1_110_13",1,FALSE
"21177",2018-11-17,5932.83550853513,1000.95154685318,0,0,2698.05455417122,"decompMedia","1_110_13",1,FALSE
"21178",2018-11-24,6550.30462785549,9886.48136931625,0,0,2774.00528692876,"decompMedia","1_110_13",1,FALSE
"21179",2018-12-01,5664.86911486294,129.908773201355,0,0,3361.97130338233,"decompMedia","1_110_13",1,FALSE
"21180",2018-12-08,3848.97370217028,17.0798649768596,0,0,2158.95651879842,"decompMedia","1_110_13",1,FALSE
"21181",2018-12-15,2924.43181355538,143.841152582624,0,0,1474.90781358751,"decompMedia","1_110_13",1,FALSE
"21182",2018-12-22,2448.50170137235,12.0221029550614,0,0,1316.37928814967,"decompMedia","1_110_13",1,FALSE
"21183",2018-12-29,2400.10804396578,5.22275735481494,0,0,2190.29932796701,"decompMedia","1_110_13",1,FALSE
"21184",2019-01-05,2251.02499321628,0.414068986373199,0,0,2306.36409134832,"decompMedia","1_110_13",1,FALSE
"21185",2019-01-12,2151.30485321516,3.36677216528424,0,0,1563.67776225371,"decompMedia","1_110_13",1,FALSE
"21186",2019-01-19,2230.70606183859,29.3387145415346,0,0,2041.46842236693,"decompMedia","1_110_13",1,FALSE
"21187",2019-01-26,2187.16321495913,906.60733878575,0,0,1573.63491275305,"decompMedia","1_110_13",1,FALSE
"21188",2019-02-02,2457.04782876924,385.621835128329,0,0,1408.11153243016,"decompMedia","1_110_13",1,FALSE
"21189",2019-02-09,2178.20291279035,76.7874207793893,0,0,1397.41225183685,"decompMedia","1_110_13",1,FALSE
"21190",2019-02-16,1838.3275905102,90.4783305835702,0,0,2035.50390022491,"decompMedia","1_110_13",1,FALSE
"21191",2019-02-23,1819.03842062624,4.37878361086097,0,0,1122.97515758184,"decompMedia","1_110_13",1,FALSE
