"","ds","dep_var","trend","season","holiday","Google_Impressions","Facebook_Impressions","Affiliate_Impressions","Organic_Views","Email_Impressions","intercept","depVarHat","solID","cluster","top_sol"
"3139",2019-09-07,99880,11301.1617202988,-108.112941403361,0,2600.21679628337,386.169351784798,0,17.2781112614457,3450.16172427065,74917.2514606195,92564.1262231153,"1_133_10",3,FALSE
"3140",2019-09-14,108644,11367.2036910955,-605.028079028216,0,1972.62271839702,312.183951992544,0,12.8849401459728,4043.97793016517,74917.2514606195,92021.0966133875,"1_133_10",3,FALSE
"3141",2019-09-21,85220,11433.2456618922,-690.252660970727,0,1821.54923631951,1556.88090027299,0,11.8972544434208,4144.13420219213,74917.2514606195,93194.706054769,"1_133_10",3,FALSE
"3142",2019-09-28,76997,11499.2885115558,-159.100560254347,0,2732.71436180409,12174.7077731934,0,16.213492482833,3071.94004539432,74917.2514606195,104253.015084796,"1_133_10",3,FALSE
"3143",2019-10-05,163874,11565.3313612193,578.756882545733,0,3036.00953650365,825.229908440503,0,19.6367715378919,3671.70703199509,74917.2514606195,94613.9229528617,"1_133_10",3,FALSE
"3144",2019-10-12,136164,11631.3742108829,919.948146769972,0,2876.32729517025,830.754982228733,0,13.0826799747836,3884.36530389575,74917.2514606195,95073.1040795419,"1_133_10",3,FALSE
"3145",2019-10-19,144244,11697.4170605465,690.593302719331,0,2666.39753002341,630.227143043487,0,11.2560766002935,3660.12737196909,74917.2514606195,94273.2699455216,"1_133_10",3,FALSE
"3146",2019-10-26,135736,11763.4599102101,379.184150480093,0,4131.98813346505,409.332487402291,0,12.1247753613839,3592.78909274516,74917.2514606195,95206.1300102835,"1_133_10",3,FALSE
"3147",2019-11-02,118467,11829.5027598736,760.679404334466,0,4535.32086275268,498.52482668277,0,13.6611571482685,3397.62454796898,74917.2514606195,95952.5650193803,"1_133_10",3,FALSE
"3148",2019-11-09,214919,11895.5456095372,2230.61155692186,0,7362.36932939269,2011.27782186299,0,16.34909543143,4456.51867647267,74917.2514606195,102889.923550238,"1_133_10",3,FALSE
"3149",2019-11-16,217094,11961.5884592008,4398.01045677768,0,8102.26756372673,6402.07272068141,0,22.9553876463887,5198.78353223175,74917.2514606195,111002.929580884,"1_133_10",3,FALSE
"3150",2019-11-23,206061,12027.6313088644,6262.9934358785,0,7484.65478628277,14703.2361679225,0,21.8723036771889,3897.8318650698,74917.2514606195,119315.471328315,"1_133_10",3,FALSE
"3151",2019-11-30,388146,12093.6741585279,6851.18157010689,0,7554.66027127992,8972.44722890001,0,19.1229739026056,5141.79138689024,74917.2514606195,115550.129050227,"1_133_10",3,FALSE
"3152",2019-12-07,358799,12159.7170081915,5843.62574495073,0,5303.83163952128,8893.93436575338,0,16.4091679600296,5061.41600350981,74917.2514606195,112196.185390506,"1_133_10",3,FALSE
"3153",2019-12-14,275981,12225.7598578551,3753.39342175517,0,2843.85627196409,7648.98102850333,0,16.3133322683242,3890.20296923687,74917.2514606195,105295.758342202,"1_133_10",3,FALSE
"3154",2019-12-21,186635,12291.8027075186,1539.02290813683,0,1976.44524707378,1942.40461914157,0,14.9687985795888,3734.21017268284,74917.2514606195,96416.1059137527,"1_133_10",3,FALSE
"3155",2019-12-28,130755,12357.8455571822,-34.4557083346393,0,2596.80351186331,76.7192465657132,0,15.716179060951,2953.38130369044,74917.2514606195,92883.2615506475,"1_133_10",3,FALSE
"3156",2020-01-04,129272,12423.8884068458,-797.14180022378,0,1746.01910292107,45.8436107683157,0,17.6024599972777,3118.93549585477,74917.2514606195,91472.3987367829,"1_133_10",3,FALSE
"3157",2020-01-11,90981,12489.9312565094,-1069.47676172665,0,1579.00361701185,114.569230359054,0,22.1316223743321,3743.01295107421,74917.2514606195,91796.4233762217,"1_133_10",3,FALSE
"3158",2020-01-18,105848,12555.9741061729,-1225.34744040366,0,1623.79132089069,173.109875035327,0,21.6302589677545,3700.06957797477,74917.2514606195,91766.4791592573,"1_133_10",3,FALSE
"3159",2020-01-25,76253,12622.0169558365,-1362.47641356647,0,2403.14352574348,79.2871235872214,0,20.5302167801482,3298.34388932445,74917.2514606195,91978.0967583249,"1_133_10",3,FALSE
"3160",2020-02-01,72475,12688.0598055001,-1354.46026417203,0,2804.26271775692,3.58369100435073,0,23.9592212489473,6012.43480892408,74917.2514606195,95095.0914408818,"1_133_10",3,FALSE
"3161",2020-02-08,77613,12754.1026551637,-1139.47820530699,0,2926.03164306097,207.458725556356,0,25.302160362835,3997.12475854074,74917.2514606195,93687.7931979971,"1_133_10",3,FALSE
"3162",2020-02-15,168172,12820.1455048272,-872.980200278695,0,2412.18240840737,1177.75191279939,0,28.3127645075192,3143.56998861523,74917.2514606195,93626.2338394976,"1_133_10",3,FALSE
"3163",2020-02-22,119598,12886.1883544908,-772.772863782806,0,2331.24225002896,1150.28316429595,0,28.3496516588976,3786.6209877057,74917.2514606195,94327.163005017,"1_133_10",3,FALSE
"3164",2020-02-29,99357,12952.2312041544,-868.57089770621,0,2264.85727970949,177.63751717912,0,26.1391559070118,3183.93214391792,74917.2514606195,92653.4778637812,"1_133_10",3,FALSE
"3165",2018-01-06,59417,8907.28504889942,-915.974194914049,0,3.44097461226633,18.7507523375742,0,0,1183.74178250262,76920.6423652979,86117.8867287358,"1_133_12",3,FALSE
"3166",2018-01-13,56806,8924.56624242245,-1112.06196527717,0,1.70905695029525,0.102128469290428,0,0,2456.13668696573,76920.6423652979,87191.0945148285,"1_133_12",3,FALSE
"3167",2018-01-20,48715,8941.84743594547,-1264.72050384518,0,6.33258068328481,6.81136818924314,0,0,2071.3491835427,76920.6423652979,86682.2624298135,"1_133_12",3,FALSE
"3168",2018-01-27,72047,8959.1286294685,-1366.2881353769,0,1.96890833631383,23.5167803570252,0,0,1948.65159139728,76920.6423652979,86487.6201394802,"1_133_12",3,FALSE
"3169",2018-02-03,56235,8976.40982299153,-1281.31344225438,0,2.90856435893408,3.4370336108119,0,0,1873.76921506219,76920.6423652979,86495.853559067,"1_133_12",3,FALSE
"3170",2018-02-10,56347,8993.69101494408,-1024.24961944428,0,6.11352102391165,2.47405033900014,0,0,2043.41178096615,76920.6423652979,86942.0831131268,"1_133_12",3,FALSE
"3171",2018-02-17,81604,9010.97220689663,-800.591434639645,0,6.60978538749557,67.4040055389178,0,0,3396.01833659205,76920.6423652979,88601.0552650734,"1_133_12",3,FALSE
"3172",2018-02-24,80492,9028.25339884917,-781.081657220145,0,5.23063246165293,0.000296959295662376,0,0,3015.23543767027,76920.6423652979,88188.2804740182,"1_133_12",3,FALSE
"3173",2018-03-03,61804,9045.53459446491,-906.375180002871,0,5.18454188774342,0.108055245598125,0,0,2086.18381366142,76920.6423652979,87151.2781905547,"1_133_12",3,FALSE
"3174",2018-03-10,64944,9062.81579008064,-974.141947906682,0,6.00281540192196,28.4695533859416,0,0,2317.36202991912,76920.6423652979,87361.1506061789,"1_133_12",3,FALSE
"3175",2018-03-17,62945,9080.09698569637,-901.699535766232,0,3.70292652806736,0.0972337754959458,0,0,2295.04724672008,76920.6423652979,87397.8872222517,"1_133_12",3,FALSE
"3176",2018-03-24,65018,9097.3781813121,-829.441765386809,0,5.67438749613633,9.70340532303654,0,0,2019.49163048396,76920.6423652979,87223.4482045264,"1_133_12",3,FALSE
"3177",2018-03-31,68472,9114.65937725652,-924.733480198707,0,7.26118290239135,1.33490622875245,0,0,2008.37672893147,76920.6423652979,87127.5410804184,"1_133_12",3,FALSE
"3178",2018-04-07,53473,9131.94057320094,-1131.00815416202,0,729.890143890849,36.8747729298977,0,0,1949.75635886971,76920.6423652979,87638.0960600273,"1_133_12",3,FALSE
"3179",2018-04-14,59351,9149.22176914535,-1197.46999678897,0,1212.05352381527,11.427737833735,0,0,2550.6893174599,76920.6423652979,88646.5647167632,"1_133_12",3,FALSE
"3180",2018-04-21,72647,9166.50296271299,-984.820173624247,0,1309.3137181923,2.911150030206,0,0,1958.93054213866,76920.6423652979,88373.4805647478,"1_133_12",3,FALSE
"3181",2018-04-28,62975,9183.78415628063,-678.145756124818,0,1426.82991752416,1.08499022226199,0,0,2315.22645540828,76920.6423652979,89169.4221286085,"1_133_12",3,FALSE
"3182",2018-05-05,73440,9201.06534984827,-615.935582499705,0,1556.74471971246,6.57711887136576,0,0,1852.33295884431,76920.6423652979,88921.4269300746,"1_133_12",3,FALSE
"3183",2018-05-12,73081,9218.34654341591,-902.235137523874,0,1937.61006456622,4.17959206284086,0,0,1464.2146816637,76920.6423652979,88642.7581094827,"1_133_12",3,FALSE
"3184",2018-05-19,63422,9235.6277307328,-1259.07756883678,0,2008.33324065886,0.0109713042075204,0,0,1624.84715215616,76920.6423652979,88530.3838913132,"1_133_12",3,FALSE
"3185",2018-05-26,65930,9252.90891804969,-1320.91351048944,0,1986.60107893287,0.314652195683932,0,0,2172.37152000011,76920.6423652979,89011.9250239869,"1_133_12",3,FALSE
"3186",2018-06-02,67830,9270.19010536658,-1048.46704487668,0,1730.34368140213,9.67014204523318,0,0,1408.64759783645,76920.6423652979,88291.0268470717,"1_133_12",3,FALSE
