"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","Affiliate_Impressions_thetas","Email_Impressions_thetas","Facebook_Impressions_thetas","Google_Impressions_thetas","Organic_Views_thetas","Affiliate_Impressions_alphas","Email_Impressions_alphas","Facebook_Impressions_alphas","Google_Impressions_alphas","Organic_Views_alphas","Affiliate_Impressions_gammas","Email_Impressions_gammas","Facebook_Impressions_gammas","Google_Impressions_gammas","Organic_Views_gammas","cluster","n","top_sol"
"35","1_114_4",0,0.0587475079465142,0.185771806115343,0.135108114737461,0.0507124407615219,0.185771806115343,0.371375649907815,0.0362550392246683,0.647502154806788,0.975855223534554,0.123345868498963,0.935188625201993,0.519163368761387,0.387368267654787,0.627925139046796,0.81987514555699,0.305200339485232,0.697072809789653,0,0.477487604018674,0.974861385814406,2,14,TRUE
"36","1_114_10",0,0.0212485650894362,0.214532407039732,0.318536227441595,0.153838039511418,0.214532407039732,0.715926167067828,0.298660586941384,0.0262821313891407,0.584729127787133,0.492487361798664,0.50072209811503,0.649253236929575,0.890197509124726,0.445942331047425,0.936343580669891,0.679518401935178,0.0808113347123574,0.479432283364135,0.959471614323768,0.797726711261907,1,64,FALSE
"37","1_114_13",0,0.0252454906845217,0.214152551118249,0.321976979420427,0.155309239008829,0.214152551118249,0.518623892435548,0.23868420870169,0.127450840185152,0.999789661334204,0.434378154719437,0.751607831988853,0.899143844980874,0.873102300518766,0.287823139544387,0.208808824850881,0.403636422374372,0.42899523435817,0.421485435706115,0.771626851535832,0.593266687546577,1,64,FALSE
"38","1_115_13",0,0.0230823824525386,0.214268526528399,0.327347459289143,0.157348403809107,0.214268526528399,0.302537593043222,0.0764248801655297,0.075782078107413,0.657129566274383,0.510700458868851,0.535654100557595,0.211793420557083,0.981431728205201,0.189841860081205,0.0992541886465724,0.27688817604435,0.935920073219006,0.415396132548305,0.768221999519398,0.765009054796553,3,54,FALSE
"39","1_117_5",0,0.0198368580812811,0.214842243198418,0.328721964328681,0.157726633958973,0.214842243198418,0.926491862837929,0.0271586606989904,0.0704545165386688,0.00286319505633072,0.64586457634927,0.982443609016446,0.484640959185538,0.918086048787582,0.380021203200876,0.770917866248862,0.171539419921883,0.827502372093602,0.606568506873855,0.649096220616043,0,3,54,FALSE
"40","1_117_8",0,0.033347892768332,0.213460727220341,0.312297351532974,0.15152316050806,0.213460727220341,0.606660590928707,0.43667393037481,0.0191136144362219,0.964250128835331,0.231417922203783,0.667158345301131,0.295711851277668,0.884820484959899,0.459219490502226,0.56502154360846,0.525418586123478,0.973261678984507,0.330937266220816,0.923845642266097,0.370380429820776,3,54,FALSE
"41","1_117_13",0,0.0699869345153724,0.211403811787691,0.30198559149376,0.147687590564408,0.211403811787691,0.831806630102509,0.673574755914427,0.075782078107413,0.657129566274383,0.308284551352023,0.633219726838428,0.159863783215338,0.884880161967785,0.189841860081205,0.124416179356842,0.386501514545034,0.830526580750483,0.173284924898096,0.768221999519398,0.995398185654442,3,54,FALSE
"42","1_118_11",0,0.0468530864368284,0.212969900049935,0.304939228612323,0.148574165871434,0.212969900049935,0.726658105652296,0.352910447837219,0.0151661645887661,0.790852075453406,0.18236556551944,0.780254649132529,0.814484583745242,0.773030339123642,0.50534279280773,0.76422003263783,0.304418396771263,0.542595441546105,0.276392482502799,0.546870141194352,0.915918206553267,1,64,FALSE
"43","1_119_7",0,0.0292657380503081,0.213868624294451,0.303574425926752,0.148147485922811,0.213868624294451,0.649507639665745,0.305105806622719,0.0497017590299512,0.715263342669766,0.201599689710458,0.575011187321853,0.203075412810048,0.940507187804546,0.420608247669128,0.489929684839592,0.537705174573488,0.604378116378794,0.368136241454278,0.92382636439895,0.538730764049042,3,54,TRUE
"44","1_119_9",0,0.0195755087023343,0.214768170609114,0.323112994396337,0.155681338423956,0.214768170609114,0.694306716529302,0.786599162614903,0.0640240736434205,0.428948422469097,0.519552232667049,0.988219844406649,0.705315976598198,0.856180316854196,0.195637223494469,0.449176354972408,0.593583454745838,0.521044153976856,0.546731107718834,0.836606762795816,0.493562348543995,1,64,FALSE
"45","1_119_10",0,0.0397797675318366,0.213389847971513,0.310643267565555,0.150990888851347,0.213389847971513,0.863155123654748,0.628813285996823,0.15411742709492,0.398193012727084,0.39798198133667,0.664088737924012,0.268608028828323,0.821111324791388,0.44549786716791,0.80123965477892,0.301118372645478,0.595063517483955,0.375333451519226,0.748784183276666,0.753710244355383,1,64,FALSE
"46","1_119_13",0,0.0230209021056788,0.214115444844143,0.322085471493883,0.155324376396672,0.214115444844143,0.302537593043222,0.0764248801655297,0.075782078107413,0.822616245201621,0.394430000135001,0.740856924929086,0.211793420557083,0.981431728205201,0.31362570763032,0.178061604619346,0.27688817604435,0.935920073219006,0.415396132548305,0.779425474762617,0.668907197392256,3,54,FALSE
"47","1_120_11",0,0.0346393093713214,0.213437806321605,0.313258016972032,0.151909759128886,0.213437806321605,0.612263995576075,0.143461132094254,0.0995881318437033,0.683966104288938,0.355976898488015,0.873617402027135,0.814484583745242,0.989924671307061,0.370860786487867,0.465304534622842,0.203365214832812,0.542595441546105,0.338494778350054,0.879837089083848,1,1,64,FALSE
"48","1_120_14",0,0.0304007029063427,0.213616030250094,0.315521546537576,0.152859480954636,0.213616030250094,1,0.755119975512482,0.135515098205452,0.593561735245955,0.490961672559079,0.835095344505802,0.639364484225395,0.999233141942437,0.315023954451222,0.275743606748847,0.230737820384549,0.837626794403121,0.378129126745213,0.928685089954258,0.683591632200596,1,64,FALSE
"49","1_121_1",0,0.0205603302517828,0.214687070719934,0.312843634644415,0.151647069348096,0.214687070719934,0.817545008751817,0.859575116613571,0.0138488280677457,0.664773857143373,0.0527021931409955,0.863031906224757,0.609707708830238,0.677505229836357,0.361219478650076,0.660759465717424,0.247520734998252,0.712803324495666,0.499521313285698,0.658745845807153,0.738792394003009,1,64,FALSE
"50","1_121_5",0,0.0301128764864941,0.213871021823107,0.310377366447402,0.150935188114805,0.213871021823107,0.725735888287725,0.620442053118774,0.151599159232271,0.484346321932074,0.140695920064305,0.365194256595295,0,0.985596455957269,0.362915854185254,0.261607525257193,0.555695934800799,0.850599117946589,0.403869399124849,0.647800550687827,0.212222550345013,3,54,FALSE
"51","1_121_6",0,0.0195289611036081,0.256499313669367,0.183232961851567,0.0907767877504326,0.256499313669367,0.612530830668003,0.288330403765272,0.172733157504162,0.722504351240534,0.605521567879329,0.935046960877358,0.752237880056327,0.845452909142749,0.256829673662669,0.742048154848108,0.136557876956049,0.597457082275761,0.579396831620774,0.645814426176924,0.0431010851441785,1,64,TRUE
"52","1_121_13",0,0.0230326845777995,0.214340161145111,0.32968299884973,0.158200804587217,0.214340161145111,0.302537593043222,0.0764248801655297,0.075782078107413,0.822616245201621,0.697286272643733,0.903669587466344,0.211793420557083,0.981431728205201,0.31362570763032,0.192694708109987,0.469071625123791,0.935920073219006,0.415396132548305,0.779425474762617,0.587886030672202,3,54,FALSE
"53","1_122_3",0,0.0201249041838388,0.2147369967807,0.318234589451313,0.153689337789683,0.2147369967807,0.279894323816307,0,0.0126758692243303,0.890133043350216,0.600716030245173,0.865328349665062,0.364336581184802,0.732562380250127,0.534549402060143,0.441388845713528,0.270438972172802,0.263396547328511,0.539005059009208,0.736857842319066,0.0287335236218937,3,54,FALSE
"54","1_122_8",0,0.0195662672468306,0.214778047802059,0.324602752182248,0.156203930830196,0.214778047802059,0.601727868839579,0.400450595904495,0.0332448816222664,0.524228760099467,0.584371602227089,0.968114920532547,0.790873897661083,0.934352690026882,0.1994731338558,0.485175678525996,0.071460003824285,0.319218244637873,0.522592544240984,0.812979212271887,0.840585272660043,1,64,FALSE
