"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"546","Facebook_Impressions",17725.0279416806,103519.16752042,0.00993454755885183,916.098827614339,0.00993454755885183,103519.16752042,0.00993454755885183,916.098827614339,0.00993454755885183,TRUE,0.244677122195661,0.244677122195661,161373.82300885,18235242,NA,NA,0.259544061994688,0.259544061994688,0.64007993168,0.0455858774029988,-0.125914548139761,-0.597185250333715,0.155348444110409,0.214142796823035,0.322095180487382,0.214142796823035,0.025733654041446,0,1125684.06140501,0.1989894363,5654727.87225015,1e-04,"1_124_13",1,124,13,1858,3,916.098827614339,165825.303466021,4451.48045717183,0.00567687379857204,0.00567687379857203,176.153290610677,176.153290610677,1,FALSE,0.00891222269670811,0.000954082668229271,0,0.0241936972477182,5.56386619432894e-05
"547","Affiliate_Impressions",0,0,0,0,0,0,0,0,0,TRUE,0.0119589773890613,0.0119589773890613,7887.3982300885,891276,NA,NA,0,0,0.64007993168,0.0455858774029988,-0.125914548139761,-0.597185250333715,0.155348444110409,0.214142796823035,0.322095180487382,0.214142796823035,0.025733654041446,0,1125684.06140501,0.1989894363,5654727.87225015,1e-04,"1_124_13",1,124,13,1858,3,0,9414.60980980679,1527.21157971829,0,0,Inf,Inf,1,FALSE,0,0,0,0,NA
"548","Organic_Views",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,8051.88495575221,8051.88495575221,NA,NA,0.64007993168,0.0455858774029988,-0.125914548139761,-0.597185250333715,0.155348444110409,0.214142796823035,0.322095180487382,0.214142796823035,0.025733654041446,0,1125684.06140501,0.1989894363,5654727.87225015,1e-04,"1_124_13",1,124,13,1858,3,0,8147.38469213215,95.4997363799354,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"549","Email_Impressions",7029.75372378802,170496.421606381,0.0163622336774349,1508.81789032196,0.0163622336774349,170496.421606381,0.0163622336774349,1508.81789032196,0.0163622336774349,TRUE,NA,NA,NA,NA,389433.016085841,389433.016085841,NA,NA,0.64007993168,0.0455858774029988,-0.125914548139761,-0.597185250333715,0.155348444110409,0.214142796823035,0.322095180487382,0.214142796823035,0.025733654041446,0,1125684.06140501,0.1989894363,5654727.87225015,1e-04,"1_124_13",1,124,13,1858,3,1508.81789032196,421449.564344446,32016.5482586052,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,0.00132043333441466
"550","(Intercept)",72365.3158651395,8177280.69276076,0.780726494578558,72365.3158651395,0.780726494578558,8177280.69276076,0.780726494578558,72365.3158651395,0.780726494578558,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.63818325905,0.0879719188606177,-0.139535832652437,-0.50908209446376,0.151859716442436,0.21543424953003,0.313085542985944,0.21543424953003,0.0195299711586505,0,875349.461726607,0.1547150448,5654727.87225015,1e-04,"1_124_15",1,124,15,1860,2,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"551","trend",0.128750010187344,1541764.7523588,0.147200106710227,13643.9358615823,0.147200106710227,1541764.7523588,0.147200106710227,13643.9358615823,0.147200106710227,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.63818325905,0.0879719188606177,-0.139535832652437,-0.50908209446376,0.151859716442436,0.21543424953003,0.313085542985944,0.21543424953003,0.0195299711586505,0,875349.461726607,0.1547150448,5654727.87225015,1e-04,"1_124_15",1,124,15,1860,2,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"552","season",0.043443454426134,-12404.9244570953,-0.00118436110374365,-109.778092540666,-0.00118436110374365,-12404.9244570953,-0.00118436110374365,-109.778092540666,-0.00118436110374365,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.63818325905,0.0879719188606177,-0.139535832652437,-0.50908209446376,0.151859716442436,0.21543424953003,0.313085542985944,0.21543424953003,0.0195299711586505,0,875349.461726607,0.1547150448,5654727.87225015,1e-04,"1_124_15",1,124,15,1860,2,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"553","holiday",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.63818325905,0.0879719188606177,-0.139535832652437,-0.50908209446376,0.151859716442436,0.21543424953003,0.313085542985944,0.21543424953003,0.0195299711586505,0,875349.461726607,0.1547150448,5654727.87225015,1e-04,"1_124_15",1,124,15,1860,2,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"554","Google_Impressions",20002.3778300145,365768.341785571,0.0349217601840264,3236.88798040328,0.0349217601840264,365768.341785571,0.0349217601840264,3236.88798040328,0.0349217601840264,TRUE,0.743363900415277,0.743363900415277,490276.628318584,55401259,NA,NA,0.749236355746205,0.749236355746205,0.63818325905,0.0879719188606177,-0.139535832652437,-0.50908209446376,0.151859716442436,0.21543424953003,0.313085542985944,0.21543424953003,0.0195299711586505,0,875349.461726607,0.1547150448,5654727.87225015,1e-04,"1_124_15",1,124,15,1860,2,3236.88798040328,625392.539974291,135115.911655706,0.00660216660032167,0.00660216660032167,151.465429538127,151.465429538127,1,FALSE,0.00782942360134586,0.00074135540919751,0,0.019703727690251,0.230700483647237
"555","Facebook_Impressions",32847.4587054005,122419.850071833,0.0116880444740056,1083.36150506047,0.0116880444740056,122419.850071833,0.0116880444740056,1083.36150506047,0.0116880444740056,TRUE,0.244677122195661,0.244677122195661,161373.82300885,18235242,NA,NA,0.250763644253795,0.250763644253795,0.63818325905,0.0879719188606177,-0.139535832652437,-0.50908209446376,0.151859716442436,0.21543424953003,0.313085542985944,0.21543424953003,0.0195299711586505,0,875349.461726607,0.1547150448,5654727.87225015,1e-04,"1_124_15",1,124,15,1860,2,1083.36150506047,166085.136484165,4711.31347531565,0.00671336580407507,0.00671336580407506,148.956578441323,148.956578441323,1,FALSE,0.00891222269670811,0.000954082668229271,0,0.0241936972477182,4.68529958803115e-05
